name,price,category_main,category_sub,img_path,product_no,page_link
삼성 창문형 에어컨,28900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202503/f4b852173ecdbe0a0374053c3c01e599.jpg,2214,https://cjhello-hirental.co.kr/product/detail.html?product_no=2214&cate_no=53&display_group=1
삼성 벽걸이 에어컨,32900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202411/16142ffee3bac3a97d3db06c84eaadc4.jpg,2205,https://cjhello-hirental.co.kr/product/detail.html?product_no=2205&cate_no=53&display_group=1
LG벽걸이에어컨,30900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202411/96987e05a60416fde9f1faa4f822a8b8.jpg,2204,https://cjhello-hirental.co.kr/product/detail.html?product_no=2204&cate_no=53&display_group=1
삼성 냉난방기,100900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202310/175b98758fa8e3c1a8c970fcb429015b.jpg,2185,https://cjhello-hirental.co.kr/product/detail.html?product_no=2185&cate_no=53&display_group=1
LG 휘센 오브제컬렉션 위너 18평 에어컨,44900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202407/6cd41c34a3677a64f7c50bf1be3ff256.jpg,2182,
LG 에어컨,50900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202407/962cf11e92b78769412d766e17498eb0.jpg,2181,
삼성무풍에어컨,60900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202407/a20cb9146f9e835d7655667bfe740f39.jpg,2180,
위닉스 창문형 에어컨,25900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202407/5763c68954deee2153036c79ff13136c.jpg,2179,https://cjhello-hirental.co.kr/product/detail.html?product_no=2175&cate_no=53&display_group=1
삼성 창문형 에어컨,28900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202407/83bc88c9531524b8d096eb5d69fc88f0.jpg,2178,
위닉스 창문형 에어컨,25900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202407/87a408b4b132ec3186c380bdac06c6f0.jpg,2175,https://cjhello-hirental.co.kr/product/detail.html?product_no=2175&cate_no=53&display_group=1
LG헬로렌탈 삼성 에어컨 2in1 무풍클래식  화이트 17+6평 AF17B7939WZWRS-헬로하이렌탈,72900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202405/b3f75a198d008894ce0e8e329b86c356.jpg,2171,https://cjhello-hirental.co.kr/product/detail.html?product_no=2171&cate_no=53&display_group=1
LG헬로렌탈 삼성에어컨 비스포크 Q9000 2in1 17평+6평형 AF17B6474WZRS-헬로하이렌탈,55900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202405/2e94f03b37b46444a25dee597cce5445.jpg,2170,https://cjhello-hirental.co.kr/product/detail.html?product_no=2170&cate_no=53&display_group=1
삼성 에어컨,45900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202405/b67eae6f8b707c0103a8f744504fc367.jpg,2169,
LG헬로렌탈 삼성 30평형 냉난방기 스탠드형  AP110BAPPBH2S  36개월 48개월 60개월 약정 등록비면제-헬로하이렌탈,95900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202310/175b98758fa8e3c1a8c970fcb429015b.jpg,2083,https://cjhello-hirental.co.kr/product/detail.html?product_no=2083&cate_no=53&display_group=1
LG헬로렌탈 삼성 23평형 냉난방기 스탠드형  AP083BAPPBH2S  36개월 48개월 60개월 약정 등록비면제-헬로하이렌탈,73900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202310/3aed450fe2f8b1aadc91ef9ff699679b.jpg,2082,https://cjhello-hirental.co.kr/product/detail.html?product_no=2082&cate_no=53&display_group=1
LG헬로렌탈 삼성 인버터 냉난방기 18평형 스탠드형  AP072BAPPBH2S-헬로하이렌탈,68900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202310/3aed450fe2f8b1aadc91ef9ff699679b.jpg,2081,https://cjhello-hirental.co.kr/product/detail.html?product_no=2081&cate_no=53&display_group=1
삼성 냉난방기,63900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202310/3aed450fe2f8b1aadc91ef9ff699679b.jpg,2080,
"LG헬로비전 위니아 2023 NEW 에어블 2in1 17+7평형 에어컨 WPVS17HAPBRLM 36,48,60개월 약정 등록비면제-헬로하이렌탈",65900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/d8f8688ed2840d9be4c946d6627f6165.jpg,2020,
LG헬로비전렌탈 LG 냉난방기 벽걸이형 13평 SW16BAKWAS 36개월 48개월 60개월 약정 등록비면제-헬로하이렌탈,57900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202009/b48df72626f366b997811ed7b38b620c.jpg,2013,
LG헬로비전렌탈 LG 냉난방기 벽걸이형 13평 SW13BAKWAS 36개월 48개월 60개월 약정 등록비면제-헬로하이렌탈,48900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202009/b48df72626f366b997811ed7b38b620c.jpg,2012,
헬로렌탈 LG 에어컨기 스탠드형 18평  FQ18PDNBA1 36 48 60개월 약정 등록비면제 LG휘센 에어컨렌탈-헬로하이렌탈,111900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202306/173359ddcc6196a621e8772e81054494.jpg,1984,
LG헬로비전 위니아 에어컨 벽걸이형 (7평) WRV07CLS 36개월 약정 등록비면제 에어컨 렌탈-헬로하이렌탈,24900,계절가전,에어컨,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202203/8381a1767008587c02a07aabe80da2e1.jpg,1962,
